Annee_prod,Bassin_versant,Cap_tot_act,Cap_tot_init,Cote,Date,Latitude,Longitude,Nom_Ar,Nom_Fr,_id,apports,cumul_annee_prec,cumul_annuel_apports,cumul_annuel_lachers,cumul_mensuel_apports,cumul_mensuel_lachers,fonctionnel,id_barrage,lachers,moy_mois,moy_periode,stock,stock_annee_prec
2013,58.0,26.3,26.3,110.0,2019-05-25T00:00:00,36.9347,8.84504,المولى,moula,46,1.59701,,40.1241,34.9046,1.8466,0.8,1,32,0.8,1.49326,31.4873,27.0752,23.384
1999,865.0,286.514,286.514,27.0,2019-05-25T00:00:00,37.0261,8.93618,سيدي البــــراق,selbarrak,47,1.74836,250.662,349.341,266.82,6.47817,0.41743,1,11,0.20263,3.70243,290.783,287.14,278.969
2012,95.0,33.0,33.0,37.0,2019-05-25T00:00:00,37.1856,9.20109,الزياتين,ziatine,48,0.0378591,31.2843,16.8978,31.9074,0.208044,0.093778,1,12,0.003906,0.9,28.9415,32.6513,32.8283
2012,35.5,18.3,18.3,48.0,2019-05-25T00:00:00,37.1991,9.26906,القمقوم,gamgoum,49,0.0572791,12.379,38.8958,15.0659,0.174956,0.0,1,13,0.0,0.035559,7.95339,17.6937,17.8799
1987,1040.0,33.4411,70.0,388.5,2019-05-25T00:00:00,36.1571,9.35208,سليانـــــــة,siliana,50,0.563241,4.17953,48.7163,23.8678,1.33514,1.60125,1,14,0.057407,2.01139,33.6185,32.0279,5.87705
1966,127.0,7.22,8.22,517.06,2019-05-25T00:00:00,35.9952,9.47242,لخمـــــــاس,lakhmess,51,0.0430539,1.54968,5.99499,1.84007,0.237072,0.360882,1,15,0.0,1.00958,11.6713,6.91844,2.34039
2002,232.0,2.0,4.0,285.0,2019-05-25T00:00:00,36.302,9.50269,الرميـــــــل,rmil,52,0.000408775,0.279303,7.52855,5.17957,0.0574446,0.070811,1,16,0.006081,0.174369,9.83497,1.8938,0.0579
2013,58.0,26.3,26.3,110.0,2019-05-24T00:00:00,36.9347,8.84504,المولى,moula,79,0.0154422,,38.5271,34.1046,0.24959,0.0,1,32,0.0,1.49326,31.4391,26.2795,23.384
1971,1263.0,41.599,52.9,122.5,2019-05-25T00:00:00,36.5112,10.0114,بئر المشارقـــة,birmcherga,53,0.0839205,3.59327,41.9231,10.2965,0.548495,0.06912,1,17,0.00432,1.17327,25.2048,40.7436,13.0706
1998,675.0,23.83,22.0,43.0,2019-05-25T00:00:00,36.3318,10.3597,الرمــــــل,rmel,54,0.0279185,0.967258,27.9341,3.95819,0.0884282,0.2625,1,18,0.0105,0.16702,15.6333,20.4973,4.6416
1965,855.0,58.76,86.5,230.0,2019-05-25T00:00:00,36.06,9.87235,نبهانــــــة,nebhana,55,0.0328923,2.62552,26.7216,7.04481,0.454001,1.42512,1,19,0.02529,1.36161,21.178,22.1344,2.9436
1981,8950.0,133.317,209.0,270.0,2019-05-25T00:00:00,35.3901,9.69476,سيدي سعـــد ,sidisaad,56,0.474844,10.1102,70.8702,23.5471,0.693936,1.74495,1,20,0.000337,4.36556,40.9212,72.2641,30.8238
1989,1120.0,77.47,95.3,217.0,2019-05-25T00:00:00,35.5727,9.74681,هـــــــوارب,elhaouareb,57,0.0919456,0.572961,20.9995,1.20311,0.248767,0.062068,1,21,0.0,0.818174,13.9508,8.00613,0.206072
2005,173.65,7.71,4.24,677.8,2019-05-25T00:00:00,35.3413,9.07053,سفيسيفة,sficifa,58,0.000342185,3.21412,3.31559,0.2,0.0162796,0.0,1,22,0.0,2.214,28.9415,2.14347,1.3148
1997,1900.0,88.0,88.0,541.0,2019-05-25T00:00:00,34.7468,8.74761,سيدي يعيــــش ,sidiach,59,0.0,0.245114,5.98988,0.6,0.0,0.0,1,23,0.0,0.262516,1.6661,4.4375,1.157
2002,293.0,16.0,16.0,849.0,2019-05-25T00:00:00,35.4705,8.96766,البــــــــرك,elbrek,60,0.000495675,1.3811,4.03024,0.0,0.0123919,0.0,1,24,0.0,0.0006324,1.6661,2.05,0.9
1959,86.0,5.01,6.5,54.62,2019-05-25T00:00:00,36.7159,10.6262,بزيـــــــغ,bezirk,61,0.00847807,0.0,19.6432,15.1156,0.0556939,0.0035,1,25,0.0,0.266449,4.88299,4.6308,1.7916
1963,64.0,5.045,7.8,77.88,2019-05-25T00:00:00,36.6923,10.7697,شيبـــــــة,chiba,62,0.00475857,1.16583,20.2926,16.2757,0.0109874,0.630001,1,26,0.01706,0.191438,6.48389,3.546,0.56364
1968,53.0,5.193,6.9,163.0,2019-05-25T00:00:00,36.534,10.4911,مصــــــري,masri,63,0.0097892,0.955136,4.57581,7.53759,0.0904484,0.268517,1,27,0.01895,0.285983,4.4921,5.12191,5.04314
1986,199.0,23.3053,30.1,18.04,2019-05-25T00:00:00,36.7388,10.9218,لبنــــــــة,lebna,64,0.0195665,4.12079,38.0682,17.5043,0.263768,0.363853,1,28,0.00898,0.13729,17.6948,19.4574,7.78109
2002,123.0,12.854,12.1,102.4,2019-05-25T00:00:00,36.5874,10.304,الحمـــــى,hma,65,0.00537261,0.214691,4.21345,0.417378,0.113806,0.22,1,29,0.0,0.0291232,4.38272,3.59999,1.0844
2002,54.0,9.615,10.0,42.2,2019-05-25T00:00:00,36.8308,10.7086,العبيـــــــد,abid,66,0.0130241,3.34322,11.6372,5.56318,0.0450528,0.290398,1,30,0.006565,0.0146496,5.19278,8.56479,3.26196
1954,10300.0,51.13,267.67,265.0,2019-05-24T00:00:00,36.3144,8.70273,مـــــلاق ,mellegue,67,0.129454,22.0805,207.347,190.979,2.15118,1.21604,1,1,0.051036,17.3775,147.711,37.3759,17.9923
1954,103.0,60.393,61.63,436.5,2019-05-24T00:00:00,36.7471,8.74188,بنيمطيــر ,benmetir,68,0.00639117,39.1938,49.1253,32.0998,0.914773,1.87344,1,2,0.06078,1.27743,42.3196,54.224,52.4052
1968,101.0,76.9,81.875,292.04,2019-05-24T00:00:00,36.7614,9.0023,كســاب,kasseb,69,0.0326635,32.3839,48.6328,23.1152,0.633819,2.15423,1,3,0.092,0.913573,42.4111,60.2736,46.4314
1998,177.0,64.7,74.82,182.0,2019-05-24T00:00:00,36.7341,8.53173,بربرة,barbara,70,0.0717862,88.8813,101.222,90.7905,2.56035,1.91094,1,4,0.0172,1.69462,82.1851,64.7983,64.2971
1981,7950.0,580.35,814.0,115.0,2019-05-24T00:00:00,36.5907,9.39706,سيدي ســــالم,sidisalem,71,0.0,165.037,625.035,327.787,15.1376,21.2023,1,5,1.03865,19.9305,377.083,565.665,178.643
1976,390.0,112.037,117.5,221.0,2019-05-24T00:00:00,36.6719,8.78758,بو هرتمـــــه,bouheurtma,72,0.173943,72.114,142.233,82.6186,3.4412,10.5826,1,6,1.86365,2.78374,79.025,102.027,76.8137
1983,418.0,118.773,129.9,90.0,2019-05-24T00:00:00,36.9909,9.61373,جوميــــــن,joumine,73,0.0593521,45.1827,89.6807,40.1484,1.30568,3.18949,1,7,0.280312,1.85273,74.2269,95.0227,62.6301
1984,48.0,10.004,11.7,82.5,2019-05-24T00:00:00,37.0594,9.54582,غزالـــــــة,ghezala,74,0.00304375,5.60799,10.2792,3.89401,0.0949109,0.3119,1,8,0.0115,0.226176,9.28917,9.50612,6.08649
2015,85.9,41.0,41.0,136.0,2019-05-24T00:00:00,37.0359,9.41093,المالح,melah,75,0.0,,,,0.0587408,1.09168,1,33,0.04164,0.68,25.2101,35.855,
1994,367.0,134.014,137.5,86.5,2019-05-24T00:00:00,37.181,9.47513,سجنــــــان,sejnane,76,0.0,92.1086,149.483,129.122,0.835213,7.15446,1,9,0.345672,0.61677,116.703,100.221,79.9464
2012,60.0,24.0,24.0,93.0,2019-05-24T00:00:00,36.8824,8.69921,الزرقة,zarga,77,0.0199575,31.0135,40.7986,32.4905,0.160419,0.2824,1,10,0.0,0.64,21.8745,23.734,22.96
2014,85.2,64.4,64.4,85.0,2019-05-24T00:00:00,36.8751,8.71699,الكبير,kebir,78,0.0312155,,43.597,42.7647,0.915607,1.0143,1,31,0.0,3.33512,38.8327,6.646,6.4408
2013,58.0,26.3,26.3,110.0,2018-07-03T00:00:00,36.9347,8.84504,المولى,moula,10469,0.0,,13.6277,0.0,0.00770076,0.0,1,32,0.0,,,23.216,
1999,865.0,286.514,286.514,27.0,2019-05-24T00:00:00,37.0261,8.93618,سيدي البــــراق,selbarrak,80,0.0698609,250.594,347.593,266.617,4.72981,0.2148,1,11,0.02263,3.70243,290.663,285.609,279.572
2012,95.0,33.0,33.0,37.0,2019-05-24T00:00:00,37.1856,9.20109,الزياتين,ziatine,81,0.0109216,31.2833,16.8405,31.9035,0.170185,0.089872,1,12,0.00426,0.9,28.9125,32.6218,32.8578
2012,35.5,18.3,18.3,48.0,2019-05-24T00:00:00,37.1991,9.26906,القمقوم,gamgoum,82,0.0,12.3722,38.8579,15.0659,0.117677,0.0,1,13,0.0,0.035559,7.95225,17.6364,17.8799
1987,1040.0,33.4411,70.0,388.5,2019-05-24T00:00:00,36.1571,9.35208,سليانـــــــة,siliana,83,0.0352602,4.16843,48.1531,23.8104,0.771896,1.54384,1,14,0.068105,2.01139,33.5536,31.5232,5.87705
1966,127.0,7.22,8.22,517.06,2019-05-24T00:00:00,35.9952,9.47242,لخمـــــــاس,lakhmess,84,0.0249319,1.54716,5.95194,1.84007,0.194018,0.360882,1,15,0.0,1.00958,11.6387,6.87554,2.34039
2002,232.0,2.0,4.0,285.0,2019-05-24T00:00:00,36.302,9.50269,الرميـــــــل,rmil,85,0.00128041,0.279303,7.52814,5.17349,0.0570358,0.06473,1,16,0.010572,0.174369,9.82934,1.8997,0.0579
1971,1263.0,41.599,52.9,122.5,2019-05-24T00:00:00,36.5112,10.0114,بئر المشارقـــة,birmcherga,86,0.0868493,3.59327,41.8392,10.2921,0.464575,0.0648,1,17,0.00432,1.17327,25.1669,40.6777,13.108
1998,675.0,23.83,22.0,43.0,2019-05-24T00:00:00,36.3318,10.3597,الرمــــــل,rmel,87,0.0284789,0.967258,27.9062,3.94769,0.0605097,0.252,1,18,0.0105,0.16702,15.6279,20.4973,4.6934
1965,855.0,58.76,86.5,230.0,2019-05-24T00:00:00,36.06,9.87235,نبهانــــــة,nebhana,88,0.0607823,2.61751,26.6887,7.01952,0.421108,1.39983,1,19,0.05318,1.36161,21.1341,22.1344,2.9436
1981,8950.0,133.317,209.0,270.0,2019-05-24T00:00:00,35.3901,9.69476,سيدي سعـــد ,sidisaad,89,0.0764775,10.0799,70.3954,23.5467,0.219092,1.74462,1,20,0.046912,4.36556,40.7803,71.8049,30.8238
